perform,leader,latest,fun,serious,bargain,value,trendy,rebuy,brand
9,8,7,10,8,1,2,6,4,Canon
2,6,5,1,7,5,5,2,3,Canon
10,10,1,3,8,4,3,8,4,Canon
5,8,1,7,9,4,3,4,4,Canon
7,6,10,6,3,4,6,2,4,Canon
6,6,7,8,7,1,3,7,3,Canon
6,7,10,6,6,1,2,6,3,Canon
7,7,4,4,9,1,2,6,2,Canon
6,5,10,9,1,2,2,6,1,Canon
5,7,6,4,5,1,2,7,2,Canon
10,9,10,7,6,2,2,5,2,Canon
8,10,7,1,10,3,3,6,3,Canon
9,9,4,4,10,2,6,4,4,Canon
7,7,1,4,9,3,1,3,3,Canon
7,4,8,2,7,3,3,5,5,Canon
10,8,6,4,10,1,2,6,2,Canon
9,5,5,1,7,4,3,5,3,Canon
6,6,8,1,9,1,2,7,3,Canon
7,7,4,5,4,1,3,5,3,Canon
10,8,8,1,9,3,3,8,4,Canon
9,8,7,8,5,1,5,3,4,Canon
9,7,9,10,10,2,3,9,4,Canon
10,10,3,2,6,2,2,3,4,Canon
9,7,5,2,9,5,2,7,5,Canon
6,8,10,5,10,6,5,9,4,Canon
9,7,4,6,10,2,4,7,5,Canon
3,5,1,1,5,1,1,3,5,Canon
5,7,1,4,5,4,3,7,4,Canon
5,6,3,1,9,2,4,6,5,Canon
5,7,10,4,10,4,5,10,4,Canon
10,10,5,3,7,5,5,3,4,Canon
10,9,9,3,7,2,3,7,3,Canon
10,10,1,6,8,1,1,6,2,Canon
8,9,5,1,10,3,5,3,2,Canon
5,8,10,3,5,5,6,4,3,Canon
10,9,6,1,1,2,4,4,3,Canon
3,4,10,1,8,1,2,9,4,Canon
5,7,9,3,5,2,4,5,3,Canon
7,10,5,1,10,5,4,5,4,Canon
6,7,6,3,10,1,2,8,4,Canon
8,6,1,4,7,3,1,4,1,Canon
7,6,8,6,6,4,3,4,2,Canon
4,6,7,6,8,5,3,9,5,Canon
10,10,7,3,10,4,4,3,4,Canon
4,8,3,7,10,3,2,4,4,Canon
5,5,3,1,6,5,5,3,2,Canon
9,9,8,5,9,1,3,5,3,Canon
10,9,5,1,9,2,3,5,5,Canon
7,7,8,7,9,1,1,6,2,Canon
7,9,7,1,8,6,4,6,3,Canon
8,10,5,1,7,2,5,3,4,Canon
4,10,5,4,10,2,2,5,4,Canon
7,6,9,8,8,2,4,4,2,Canon
7,9,3,1,5,3,4,8,4,Canon
7,9,7,1,7,1,3,7,2,Canon
5,7,8,9,9,3,4,5,6,Canon
7,7,1,5,9,2,2,3,2,Canon
5,5,7,1,10,2,2,4,4,Canon
8,8,6,4,7,1,4,5,4,Canon
8,7,10,7,6,3,2,8,4,Canon
10,7,3,1,9,1,1,5,1,Canon
5,7,9,5,10,3,3,5,3,Canon
5,6,5,2,8,2,3,6,3,Canon
3,7,10,1,8,1,3,8,3,Canon
7,3,4,6,9,1,3,3,2,Canon
4,7,10,1,10,6,5,7,4,Canon
1,4,10,1,5,4,2,9,3,Canon
6,6,1,1,2,2,3,2,1,Canon
7,9,10,7,5,5,4,10,4,Canon
7,6,4,2,10,1,1,4,2,Canon
5,8,3,2,7,3,4,1,6,Canon
7,8,10,1,7,3,4,8,3,Canon
5,9,6,6,6,4,5,5,5,Canon
7,9,4,4,9,3,5,5,4,Canon
5,9,6,2,10,1,4,6,4,Canon
2,6,7,5,7,1,4,6,3,Canon
1,1,10,5,1,1,2,10,2,Dell
1,1,10,7,1,2,3,9,1,Dell
1,1,1,5,1,1,1,5,4,Dell
1,4,10,6,1,1,1,8,1,Dell
7,2,10,8,1,5,5,8,4,Dell
5,4,10,8,4,1,2,6,1,Dell
1,5,10,8,1,1,2,9,5,Dell
3,6,3,6,5,2,4,6,2,Dell
3,3,10,6,2,1,3,8,4,Dell
1,1,9,5,3,1,3,10,4,Dell
7,1,2,9,1,5,2,3,8,Dell
1,2,10,5,1,3,2,6,2,Dell
1,1,8,7,8,2,2,6,2,Dell
3,3,5,5,2,1,4,6,1,Dell
1,3,8,5,3,3,3,5,1,Dell
7,6,2,8,1,4,4,7,1,Dell
1,5,6,3,1,4,2,9,3,Dell
1,3,1,5,1,1,1,6,7,Dell
1,4,10,10,1,1,1,9,1,Dell
4,4,1,4,1,1,2,8,2,Dell
1,1,1,2,1,1,2,5,4,Dell
1,1,1,5,1,3,4,6,2,Dell
1,1,5,6,1,1,1,7,1,Dell
1,5,5,5,6,1,2,3,1,Dell
1,1,10,5,2,1,3,7,2,Dell
4,2,9,8,2,2,3,5,1,Dell
3,1,9,8,4,1,1,10,1,Dell
1,6,10,9,8,1,1,10,1,Dell
1,1,10,7,3,4,1,6,6,Dell
1,3,8,6,1,1,1,7,6,Dell
1,1,10,8,2,3,3,8,2,Dell
1,1,10,5,1,1,1,10,1,Dell
1,1,10,9,1,1,1,7,4,Dell
1,2,9,7,3,1,1,4,1,Dell
2,1,10,5,4,1,1,10,1,Dell
7,5,3,4,6,1,1,6,1,Dell
1,3,7,9,4,1,1,7,3,Dell
1,2,10,10,2,2,2,9,5,Dell
2,1,10,5,1,4,3,8,3,Dell
1,1,10,7,3,2,2,8,5,Dell
1,1,10,9,5,3,3,7,1,Dell
1,5,3,5,5,3,4,6,4,Dell
7,1,2,7,1,1,2,3,1,Dell
1,4,5,7,3,1,1,9,2,Dell
1,6,9,8,1,1,1,9,3,Dell
1,6,10,7,1,1,2,9,1,Dell
1,2,6,9,1,3,2,7,2,Dell
1,3,10,8,2,1,1,10,1,Dell
1,5,7,6,1,1,1,6,2,Dell
1,2,10,7,2,1,1,9,1,Dell
2,3,8,6,1,1,2,7,4,Dell
1,1,1,6,1,4,5,3,1,Dell
1,1,5,5,3,1,1,7,5,Dell
1,5,3,5,1,4,2,6,5,Dell
3,3,10,6,8,2,2,7,1,Dell
1,1,10,7,1,1,1,6,4,Dell
1,1,10,5,4,6,3,6,1,Dell
1,3,3,5,4,1,3,6,1,Dell
1,3,10,6,1,1,1,10,1,Dell
1,1,10,8,1,2,1,10,5,Dell
2,5,10,8,2,1,3,9,2,Dell
1,3,10,6,3,2,3,5,2,Dell
3,2,10,8,1,2,2,8,5,Dell
1,8,8,5,1,1,1,5,2,Dell
1,7,10,7,1,2,4,9,2,Dell
4,3,9,7,1,2,4,10,1,Dell
5,5,10,8,2,4,2,10,3,Dell
4,1,10,5,1,1,1,10,1,Dell
10,3,7,8,5,1,1,7,1,Dell
1,1,10,7,1,1,1,5,4,Dell
1,1,5,6,1,1,2,7,1,Dell
1,4,1,6,2,1,3,7,2,Dell
7,4,10,5,3,1,3,10,2,Dell
2,2,10,8,3,3,5,9,2,Dell
1,2,10,8,3,1,1,7,1,Dell
4,4,10,8,3,1,2,9,8,Dell
3,2,7,10,2,3,2,8,3,Dell
1,4,7,6,1,1,1,9,1,Dell
1,1,8,9,3,1,1,10,1,Dell
6,1,4,6,5,4,3,6,1,Dell
1,3,8,8,3,1,1,9,2,Dell
1,2,3,6,1,1,2,4,1,Dell
5,5,1,7,1,4,3,5,1,Dell
1,1,1,6,1,3,3,3,2,Dell
2,2,1,7,1,4,3,9,1,Dell
3,4,7,6,1,2,3,6,4,Dell
1,3,9,7,1,1,2,7,1,Dell
1,1,4,5,2,3,1,5,2,Dell
1,6,10,5,4,4,4,9,4,Dell
3,1,8,10,1,3,1,9,2,Dell
8,5,8,6,4,2,1,6,1,Dell
8,6,10,7,3,4,3,9,3,Dell
3,6,1,3,3,1,2,5,6,Dell
1,5,10,9,2,1,3,8,3,Dell
6,8,10,6,6,3,3,10,4,Dell
1,1,5,4,5,1,2,3,3,Dell
7,5,1,6,2,1,2,2,3,Dell
1,1,10,7,3,3,1,5,3,Dell
3,1,10,7,5,1,1,10,2,Dell
2,1,10,8,4,1,1,10,1,Dell
4,5,4,4,4,4,3,6,3,Epson
1,4,5,6,5,4,5,4,2,Epson
1,3,9,8,4,5,8,6,4,Epson
2,4,7,4,3,7,5,5,2,Epson
1,5,5,7,6,7,5,7,1,Epson
1,1,10,7,4,7,6,8,1,Epson
1,6,10,9,3,9,8,5,1,Epson
2,5,6,6,3,5,2,4,4,Epson
1,4,6,2,4,9,8,4,2,Epson
1,4,4,4,4,5,3,2,3,Epson
8,6,7,3,4,6,6,5,3,Epson
4,5,5,4,5,5,4,4,5,Epson
2,5,9,9,3,6,5,5,1,Epson
1,3,4,9,2,1,6,5,7,Epson
9,10,10,8,5,6,5,7,9,Epson
1,5,7,4,6,4,2,6,5,Epson
1,4,10,7,2,6,6,7,4,Epson
4,5,10,6,2,9,6,5,5,Epson
1,3,8,7,4,8,6,6,4,Epson
1,9,7,5,6,6,4,3,4,Epson
8,7,7,5,7,7,4,6,5,Epson
2,9,5,6,4,4,8,5,1,Epson
8,10,7,10,7,6,7,6,7,Epson
1,3,9,9,3,7,6,5,2,Epson
1,2,10,8,5,9,7,6,3,Epson
3,4,8,6,6,8,4,5,5,Epson
2,2,5,7,2,6,6,4,5,Epson
1,4,10,2,4,9,5,6,7,Epson
1,3,3,7,6,6,4,4,3,Epson
1,1,7,5,3,6,6,6,6,Epson
1,5,7,5,6,9,8,4,7,Epson
1,3,9,6,4,8,5,7,6,Epson
3,7,8,10,4,8,7,6,7,Epson
4,6,7,6,6,7,5,6,7,Epson
2,4,10,6,6,6,4,6,4,Epson
3,6,9,8,2,5,3,6,2,Epson
3,5,5,6,4,3,4,4,2,Epson
8,7,10,6,7,5,6,8,3,Epson
1,9,9,5,7,8,7,6,4,Epson
8,9,2,4,3,6,6,5,1,Epson
1,6,1,6,4,4,5,3,1,Epson
2,1,2,6,4,6,10,3,2,Epson
1,6,10,10,5,5,6,8,1,Epson
1,5,9,10,1,8,8,7,5,Epson
6,2,6,4,2,3,5,4,4,Epson
1,3,6,7,4,6,5,6,1,Epson
1,4,2,5,4,7,4,3,5,Epson
5,4,10,6,4,6,5,6,3,Epson
1,3,8,9,3,2,5,3,7,Epson
1,6,10,9,6,7,6,7,4,Epson
6,2,10,10,5,8,10,8,3,Epson
8,8,3,3,6,2,4,5,5,Epson
1,3,10,7,4,4,2,6,1,Epson
1,8,10,4,3,6,3,9,4,Epson
3,5,9,7,2,4,3,5,6,Epson
1,8,10,10,5,5,5,8,8,Epson
1,3,9,9,6,6,4,6,1,Epson
7,6,10,10,5,5,7,5,10,Epson
5,6,7,1,5,6,7,6,2,Epson
1,3,10,6,4,7,5,6,3,Epson
4,7,10,10,8,6,7,7,9,Epson
8,4,5,9,5,6,6,2,10,Epson
8,7,6,9,3,6,6,5,9,Epson
2,2,6,10,3,3,6,6,4,Epson
6,6,8,7,6,4,3,8,1,Epson
7,7,10,7,3,5,6,4,1,Epson
1,3,9,7,5,7,5,7,5,Epson
3,4,3,4,5,3,2,3,4,Epson
2,5,8,10,5,7,3,5,3,Epson
1,4,10,7,8,4,4,6,1,Epson
1,6,9,8,3,5,5,7,5,Epson
3,5,10,8,4,3,3,9,2,Epson
1,6,10,10,3,2,5,7,1,Epson
4,8,6,10,7,8,8,4,10,Epson
1,8,8,7,6,3,6,5,1,Epson
5,1,10,10,3,4,5,8,1,Epson
1,6,5,7,3,5,4,4,2,Epson
6,7,10,9,6,6,5,7,4,Epson
2,7,3,5,5,9,8,4,1,Epson
1,7,10,8,4,4,6,5,10,Epson
1,5,10,8,6,4,4,6,1,Epson
3,3,5,5,4,2,6,4,6,Epson
4,5,10,10,4,3,3,7,2,Epson
1,7,9,10,8,5,5,6,3,Epson
1,1,3,2,4,4,6,4,2,Epson
1,3,10,6,4,3,2,6,1,Epson
2,1,4,9,4,7,4,4,5,Epson
1,5,5,5,6,6,4,4,4,Epson
1,3,10,5,4,6,6,5,5,Epson
3,3,10,6,5,3,6,5,1,Epson
1,5,3,7,4,9,8,4,2,Epson
3,4,7,6,6,5,4,6,6,Epson
2,5,10,9,4,6,7,7,7,Epson
1,8,10,6,6,7,8,8,3,Epson
3,4,10,10,3,9,6,6,6,Epson
5,5,9,8,4,8,7,7,1,Epson
2,3,10,10,4,9,4,8,2,Epson
1,8,7,7,5,6,6,3,2,Epson
1,4,10,8,2,6,6,10,2,Epson
1,6,10,4,5,6,5,8,4,Epson
4,8,1,8,8,7,9,1,9,Sony
4,7,1,5,5,8,9,3,8,Sony
7,6,1,10,8,6,7,1,7,Sony
8,7,3,5,8,4,5,4,8,Sony
8,6,5,10,10,7,6,1,8,Sony
5,5,1,3,4,6,5,1,6,Sony
10,8,1,7,10,6,6,3,9,Sony
10,7,1,5,3,7,5,4,6,Sony
4,5,1,1,10,4,9,1,6,Sony
2,4,2,1,1,6,6,1,6,Sony
2,3,6,7,5,7,8,1,6,Sony
7,6,3,6,3,7,4,1,5,Sony
4,9,4,2,5,8,7,7,10,Sony
7,7,2,8,7,6,7,2,8,Sony
6,4,1,9,8,7,4,7,9,Sony
6,5,6,1,3,7,5,3,6,Sony
1,2,1,10,1,7,8,1,8,Sony
5,6,1,3,6,7,3,5,8,Sony
6,6,4,10,6,6,6,3,6,Sony
3,5,3,4,10,5,5,1,4,Sony
1,7,1,10,2,7,9,1,6,Sony
1,4,5,10,7,6,5,4,4,Sony
2,4,1,3,4,6,9,10,8,Sony
5,8,1,8,7,5,7,1,4,Sony
8,10,4,4,5,5,9,2,7,Sony
1,3,3,5,1,6,8,1,9,Sony
4,7,1,2,7,5,6,3,7,Sony
6,4,1,4,3,8,8,6,8,Sony
7,5,2,10,3,7,6,1,8,Sony
1,6,3,8,5,9,8,2,7,Sony
1,2,1,7,10,6,7,2,9,Sony
7,7,1,10,10,5,7,1,5,Sony
2,3,1,2,5,7,6,1,7,Sony
10,4,1,6,10,7,8,1,9,Sony
8,8,5,4,10,9,9,2,9,Sony
2,2,2,3,4,7,7,1,6,Sony
6,3,2,7,5,2,6,5,6,Sony
8,6,1,10,4,6,4,1,7,Sony
9,6,3,3,7,6,10,2,9,Sony
2,4,3,9,4,8,6,6,7,Sony
9,7,3,5,8,9,6,10,8,Sony
6,7,3,10,4,7,9,4,5,Sony
2,3,1,3,1,8,10,2,10,Sony
2,3,1,3,2,7,7,3,10,Sony
7,6,1,7,4,4,6,3,8,Sony
3,4,5,1,10,8,8,5,8,Sony
7,6,4,7,5,7,8,1,8,Sony
5,5,1,7,3,8,5,4,5,Sony
5,6,1,1,7,6,7,4,8,Sony
2,6,2,7,6,6,3,1,9,Sony
1,6,4,6,5,4,4,1,6,Sony
4,8,2,6,5,8,7,5,9,Sony
1,6,5,3,10,7,3,6,7,Sony
4,6,1,2,2,2,3,1,5,Sony
1,4,1,2,1,6,8,1,8,Sony
1,3,3,2,10,4,8,1,5,Sony
5,6,2,9,1,9,8,3,10,Sony
10,6,3,3,9,6,7,5,4,Sony
3,3,1,10,9,8,5,2,4,Sony
7,5,3,3,10,6,9,1,6,Sony
6,3,5,5,6,5,4,2,8,Sony
5,6,1,2,5,8,10,1,5,Sony
3,4,1,6,4,9,10,5,9,Sony
5,5,4,6,7,6,5,3,7,Sony
5,5,3,4,4,6,5,1,8,Sony
5,5,4,3,6,9,10,1,9,Sony
10,6,2,2,3,8,9,3,10,Sony
4,4,1,9,10,9,8,3,8,Sony
1,8,1,4,10,6,7,4,8,Sony
1,3,2,8,10,5,5,6,7,Sony
4,4,6,4,6,9,10,1,10,Sony
4,1,1,4,5,7,3,6,7,Sony
3,5,1,9,8,7,7,1,7,Sony
6,5,5,8,3,8,8,4,7,Sony
3,3,5,1,9,8,8,4,8,Sony
2,3,5,9,10,5,6,3,6,Sony
2,5,1,2,1,7,7,3,6,Sony
8,3,2,6,5,5,7,1,7,Sony
1,4,6,2,8,6,5,7,6,Sony
2,3,6,10,8,7,7,1,6,Sony
8,6,2,5,4,4,6,4,6,Sony
1,5,1,6,10,10,7,5,8,Sony
1,7,1,3,5,6,6,2,8,Sony
1,4,2,5,7,7,8,4,7,Sony
2,4,1,4,7,7,8,3,6,Sony
1,4,3,6,7,7,8,4,4,Sony
1,2,1,7,3,6,6,8,7,Sony
1,3,1,2,6,10,8,2,7,Sony
4,6,1,6,6,10,8,5,9,Sony
4,7,3,7,6,9,9,2,8,Sony
4,8,1,8,6,5,4,1,7,Sony
1,3,4,10,9,7,8,3,6,Sony
6,6,2,6,6,7,5,5,9,Sony
3,6,1,5,7,7,8,4,8,Sony
7,5,1,10,6,5,6,4,6,Sony
4,5,2,3,5,4,3,5,4,Sony
2,3,1,2,5,7,9,6,6,Sony
1,3,1,4,6,6,7,2,10,Sony
3,5,1,6,1,8,8,2,7,Sony
10,10,2,1,10,2,6,1,8,Sony
8,3,1,4,3,5,6,2,5,LG
9,5,4,3,3,6,6,3,9,LG
10,4,2,2,2,4,7,2,5,LG
4,1,1,3,3,8,10,1,10,LG
9,4,2,6,4,7,7,2,6,LG
10,7,6,6,5,2,5,3,8,LG
8,5,1,1,1,8,8,1,10,LG
10,6,2,7,5,5,4,2,5,LG
8,4,1,4,3,7,6,2,10,LG
7,3,2,10,3,7,8,2,6,LG
10,5,1,2,1,9,6,1,9,LG
2,1,1,3,1,7,8,1,3,LG
8,5,1,7,2,6,9,2,8,LG
7,7,1,1,4,9,9,1,10,LG
10,1,1,4,3,5,4,1,7,LG
10,7,1,7,3,8,7,1,7,LG
2,1,1,5,5,7,7,1,7,LG
9,4,1,8,1,4,5,1,7,LG
9,8,3,6,1,9,8,1,10,LG
5,1,1,5,2,9,8,1,10,LG
8,6,1,5,1,4,4,3,4,LG
8,6,1,7,1,7,8,2,5,LG
6,2,3,5,5,7,9,1,8,LG
9,3,3,3,4,8,8,1,10,LG
7,8,2,4,3,7,7,2,6,LG
10,1,3,5,1,9,8,2,9,LG
9,6,3,1,5,6,7,1,3,LG
6,8,2,6,1,9,9,1,9,LG
9,8,3,5,4,2,6,2,7,LG
5,1,1,9,1,6,6,1,8,LG
8,5,1,2,4,4,5,2,7,LG
10,4,1,4,1,5,7,2,2,LG
8,7,1,3,3,8,10,2,9,LG
10,5,1,6,6,9,9,1,8,LG
